tomatometer_score,audience_score_rt,distributor,producer,director,genre,runtime,original_language,MPA_Ratings
94,90,Walt Disney,Kevin Feige,"Anthony Russo, Joe Russo","Adventure, Sci-fi, Action, Fantasy",3h 1m,English,PG-13
33,54,Walt Disney,Jerry Bruckheimer,Rob Marshall,"Action, Adventure, Fantasy",2h 16m,English,PG-13
76,83,Walt Disney,Kevin Feige,Joss Whedon,"Sci-fi, Action, Adventure, Fantasy",2h 21m,English,PG-13
93,85,Walt Disney,"Kathleen Kennedy, J.J. Abrams, Bryan Burk",J.J. Abrams,"Sci-fi, Action, Adventure, Fantasy",2h 16m,English,PG-13
85,91,Walt Disney,Kevin Feige,"Anthony Russo, Joe Russo","Sci-fi, Action, Adventure, Fantasy",2h 29m,English,PG-13
44,72,Buena Vista,Jerry Bruckheimer,Gore Verbinski,"Action, Adventure, Fantasy",2h 48m,English,PG-13
40,69,Warner Bros. Pictures,"Charles Roven, Deborah Snyder, Jon Berg, Geoff Johns",Zack Snyder,"Action, Adventure, Fantasy",1h 59m,English,PG-13
63,61,Sony Pictures Entertainment,"Michael G. Wilson, Barbara Broccoli",Sam Mendes,"Mystery & thriller, Action, Adventure",2h 28m,English,PG-13
52,86,Walt Disney,"Kathleen Kennedy, J.J. Abrams, Michelle Rejwan",J.J. Abrams,"Sci-fi, Action, Adventure, Fantasy",2h 22m,English,PG-13
70,64,Walt Disney,"Kathleen Kennedy, Allison Shearmur, Simon Emanuel",Ron Howard,"Adventure, Fantasy, Action, Sci-fi",2h 15m,English,PG-13
52,60,Walt Disney,"Jim Morris, Colin Wilson, Lindsey Collins",Andrew Stanton,"Sci-fi, Action, Adventure",2h 12m,English,PG-13
29,63,Warner Bros. Pictures,"Charles Roven, Deborah Snyder",Zack Snyder,"Sci-fi, Action, Adventure, Fantasy",2h 33m,English,PG-13
91,42,Walt Disney,"Kathleen Kennedy, Ram Bergman",Rian Johnson,"Sci-fi, Action, Adventure, Fantasy",2h 32m,English,PG-13
93,93,Walt Disney Pictures,Don Hahn,"Roger Allers, Rob Minkoff","Kids & family, Animation, Adventure, Musical",1h 27m,English,G
89,87,Walt Disney,Roy Conli,"Nathan Greno, Byron Howard","Animation, Adventure, Kids & family, Comedy, Fantasy, Musical",1h 41m,English,PG
63,51,Sony Pictures Entertainment,"Avi Arad, Grant Curtis, Laura Ziskin",Sam Raimi,"Action, Adventure, Fantasy",2h 13m,English,PG-13
90,89,Walt Disney,Kevin Feige,"Anthony Russo, Joe Russo","Action, Adventure, Fantasy",2h 26m,English,PG-13
84,78,Warner Bros.,"David Heyman, David Barron",David Yates,"Kids & family, Adventure, Fantasy",2h 33m,English,PG
74,85,Warner Bros. Pictures,"Carolynne Cunningham, Zane Weiner, Fran Walsh, Peter Jackson",Peter Jackson,"Adventure, Fantasy",2h 40m,English,PG-13
59,74,Warner Bros. Pictures,"Carolynne Cunningham, Zane Weiner, Fran Walsh, Peter Jackson",Peter Jackson,"Action, Adventure, Fantasy",2h 24m,English,PG-13
67,72,Universal Pictures,"Neal H. Moritz, Vin Diesel, Michael Fottrell, Chris Morgan",F. Gary Gray,"Mystery & thriller, Action, Adventure",2h 16m,English,PG-13
82,82,20th Century Fox,"James Cameron, Jon Landau",James Cameron,"Sci-fi, Action, Adventure, Fantasy",2h 35m,English,PG-13
74,61,Warner Bros. Pictures,"Bryan Singer, Gilbert Adler, Jon Peters",Bryan Singer,"Sci-fi, Action, Adventure, Fantasy",2h 34m,English,PG-13
87,90,Warner Bros. Pictures,"Emma Thomas, Christopher Nolan, Charles Roven",Christopher Nolan,"Mystery & thriller, Action, Adventure, Fantasy",2h 45m,English,PG-13
30,60,Walt Disney,Jerry Bruckheimer,"Joachim Rønning, Espen Sandberg","Action, Adventure, Fantasy",2h 3m,English,PG-13
64,58,Metro-Goldwyn-Mayer,"Michael G. Wilson, Barbara Broccoli",Marc Forster,"Mystery & thriller, Action, Adventure",1h 45m,English,PG-13
5,15,Warner Bros. Pictures,Jerry Weintraub,Jeremiah S. Chechik,Adventure,1h 29m,English,PG-13
53,72,Buena Vista Pictures,Jerry Bruckheimer,Gore Verbinski,"Action, Adventure, Fantasy",2h 31m,English,PG-13
56,75,Warner Bros. Pictures,"Charles Roven, Christopher Nolan, Emma Thomas, Deborah Snyder",Zack Snyder,"Sci-fi, Action, Adventure, Fantasy",2h 23m,English,PG-13
66,73,Walt Disney,"Mark Johnson, Andrew Adamson, Philip Steuer",Andrew Adamson,"Kids & family, Adventure, Fantasy",2h 24m,English,PG
31,51,Walt Disney,"Jerry Bruckheimer, Gore Verbinski",Gore Verbinski,"Adventure, Action, Western",2h 29m,English,PG-13
72,77,Sony Pictures Entertainment,"Laura Ziskin, Avi Arad, Matthew Tolmach",Marc Webb,"Mystery & thriller, Action, Adventure",2h 16m,English,PG-13
34,54,Universal Pictures,"Brian Goldner, Scott Stuber, Peter Berg, Sarah Aubrey, Duncan Henderson, Bennett Schneir",Peter Berg,"Sci-fi, Action, Adventure",2h 11m,English,PG-13
15,43,Paramount Pictures,"Don Murphy, Tom DeSanto, Lorenzo di Bonaventura, Ian Bryce",Michael Bay,"Sci-fi, Action, Adventure, Fantasy",2h 28m,English,PG-13
71,78,Universal Pictures,"Frank Marshall, Patrick Crowley",Colin Trevorrow,"Sci-fi, Action, Adventure, Mystery & thriller",2h 4m,English,PG-13
68,70,Sony Pictures Entertainment,"Walter F. Parkes, Laurie MacDonald",Barry Sonnenfeld,"Sci-fi, Action, Comedy",1h 44m,English,PG-13
20,57,Paramount Pictures,"Don Murphy, Tom DeSanto, Lorenzo di Bonaventura, Ian Bryce",Michael Bay,"Sci-fi, Action, Adventure",2h 29m,English,PG-13
17,50,Paramount Pictures,"Don Murphy, Tom DeSanto, Lorenzo di Bonaventura, Ian Bryce",Michael Bay,"Sci-fi, Action, Adventure",2h 45m,English,PG-13
57,61,20th Century Fox,"Avi Arad, Lauren Shuler Donner, Ralph Winter",Brett Ratner,"Sci-fi, Action, Adventure, Fantasy",1h 45m,English,PG-13
15,40,Lionsgate Films,"Jennifer Davisson Killoran, Leonardo DiCaprio, Howard Ellis",Otto Bathurst,"Action, Adventure",1h 58m,English,PG-13
