movie_title,cast_1_score,cast_2_score,cast_3_score,cast_score
Avengers: Endgame,295,200,266,761
Pirates of the Caribbean: On Stranger Tides,260,48,0,308
Avengers: Age of Ultron,206,214,179,599
Star Wars Episode VII: The Force Awakens,0,0,0,0
Avengers: Infinity War,292,314,281,887
Pirates of the Caribbean: At World’s End,283,285,176,744
Justice League,218,94,0,312
Spectre,99,115,0,214
Star Wars: The Rise of Skywalker,175,165,100,440
Solo: A Star Wars Story,0,198,143,341
John Carter,0,0,0,0
Batman v Superman: Dawn of Justice,82,126,69,277
Star Wars Episode VIII: The Last Jedi,100,100,0,200
The Lion King,77,0,21,98
Tangled,39,0,0,39
Spider-Man 3,99,47,20,166
Captain America: Civil War,211,203,274,688
Harry Potter and the Half-Blood Prince,99,99,99,297
The Hobbit: The Desolation of Smaug,0,97,0,97
The Hobbit: The Battle of the Five Armies,0,194,0,194
The Fate of the Furious,142,160,211,513
Avatar,0,0,53,53
Superman Returns,0,0,0,0
The Dark Knight Rises,203,18,154,375
Pirates of the Caribbean: Dead Men Tell No Tales,120,37,0,157
Quantum of Solace,97,0,0,97
The Avengers,341,85,196,622
Pirates of the Caribbean: Dead Man’s Chest,326,382,261,969
Man of Steel,69,103,0,172
The Chronicles of Narnia: Prince Caspian,0,98,98,196
The Lone Ranger,341,58,0,399
The Amazing Spider-Man,14,181,0,195
Battleship,0,0,101,101
Transformers: The Last Knight,265,0,0,265
Jurassic World,98,0,0,98
Men in Black 3,0,84,71,155
Transformers: Revenge of the Fallen,310,96,0,406
Transformers: Age of Extinction,227,0,0,227
X-Men: The Last Stand,92,178,96,366
Robin Hood,183,209,0,392
King Kong,85,73,61,219
The Golden Compass,177,97,0,274
Black Panther,137,115,0,252
Incredibles 2,0,0,0,0
Rogue One: A Star Wars Story,39,0,0,39
Finding Dory,0,0,0,0
Toy Story 4,174,0,0,174
Toy Story 3,144,80,0,224
Iron Man 3,348,0,136,484
Guardians of the Galaxy Vol 2,311,173,98,582
Spider-Man 2,161,61,36,258
Alice in Wonderland,0,251,65,316
Skyfall,145,0,0,145
The Hobbit: An Unexpected Journey,0,0,0,0
Monsters University,37,66,0,103
Oz the Great and Powerful,93,0,0,93
X-Men: Days of Future Past,0,0,288,288
The Amazing Spider-Man 2,94,152,146,392
Cars 2,248,0,0,248
Fast & Furious Presents: Hobbs & Shaw,448,216,205,869
Tron: Legacy,109,0,0,109
2012,56,0,0,56
Fantastic Beasts: The Crimes of Grindelwald,93,154,93,340
Terminator Salvation,145,0,0,145
Green Lantern,89,54,0,143
Prince of Persia: Sands of Time,36,0,0,36
Dark Phoenix,154,213,203,570
Transformers: Dark of the Moon,309,0,15,324
The Mummy,218,158,69,445
Jack the Giant Slayer,0,0,65,65
Furious 7,120,97,337,554
Star Trek Into Darkness,106,0,11,117
World War Z,38,0,0,38
The Great Gatsby,281,0,0,281
Disney’s A Christmas Carol,101,0,153,254
Pacific Rim,106,0,0,106
The Good Dinosaur,0,4,0,4
Iron Man,36,0,0,36
The Dark Knight,222,132,42,396
Indiana Jones and the Kingdom of the Crystal Skull,28,86,147,261
Brave,0,0,38,38
Kong: Skull Island,5,393,0,398
Star Trek Beyond,159,87,87,333
Maleficent: Mistress of Evil,0,0,0,0
Blade Runner 2049,59,129,0,188
Terminator: Dark Fate,0,0,0,0
Aladdin,97,0,40,137
Thor: Ragnarok,221,5,0,226
"The Chronicles of Narnia: The Lion, the Witch a…",0,0,0,0
Maleficent,0,79,0,79
Fantastic Beasts and Where to Find Them,39,0,0,39
WALL-E,0,0,0,0
Rush Hour 3,30,0,0,30
The Legend of Tarzan,0,0,0,0
Hugo,0,37,0,37
Valerian and the City of a Thousand Planets,0,105,0,105
Jupiter Ascending,398,88,123,609
Mission: Impossible—Fallout,253,215,0,468
X-Men: Apocalypse,95,98,475,668
The Meg,199,0,0,199
Edge of Tomorrow,238,39,0,277
Captain Marvel,84,202,188,474
The Jungle Book,0,103,223,326
Inside Out,36,0,0,36
Spider-Man: Homecoming,16,45,204,265
Suicide Squad,125,0,57,182
Up,0,0,0,0
Coco,0,0,0,0
Ralph Breaks The Internet,0,0,272,272
Monsters vs. Aliens,62,0,0,62
Cars 3,131,0,0,131
G.I. Joe: The Rise of Cobra,53,49,0,102
The Mummy: Tomb of the Dragon Emperor,0,3,0,3
Evan Almighty,155,88,0,243
King Arthur: Legend of the Sword,5,0,119,124
47 Ronin,0,0,0,0
Jurassic World: Fallen Kingdom,307,0,0,307
Guardians of the Galaxy,0,214,365,579
Iron Man 2,287,0,93,380
Captain America: The Winter Soldier,204,100,138,442
Dawn of the Planet of the Apes,18,0,85,103
The Polar Express,167,0,92,259
Snow White and the Huntsman,285,86,0,371
Terminator 3: Rise of the Machines,105,0,0,105
Van Helsing,227,190,0,417
Dumbo,96,107,0,203
Godzilla: King of the Monsters,0,71,0,71
Tomorrowland,144,0,0,144
Alita: Battle Angel,63,0,0,63
Alice Through the Looking Glass,5,123,70,198
Shrek Forever After,0,108,70,178
Doctor Strange,176,57,58,291
Big Hero 6,0,0,25,25
How to Train Your Dragon,0,321,105,426
Wreck-It Ralph,0,0,0,0
Interstellar,80,84,93,257
Independence Day: Resurgence,0,52,0,52
Cowboys and Aliens,99,104,87,290
Beauty and the Beast,0,79,62,141
Spider-Man: Far From Home,195,202,26,423
Aquaman,87,0,149,236
Shrek the Third,0,114,0,114
Inception,77,79,78,234
The Hunger Games: Mockingjay - Part 2,516,78,0,594
Fast and Furious 6,94,94,214,402
Godzilla,24,0,66,90
X-Men: First Class,86,83,0,169
The Curious Case of Benjamin Button,240,86,98,424
The Sorcerer's Apprentice,258,0,0,258
Poseidon,0,55,66,121
Warcraft,0,0,0,0
The Irishman,19,0,0,19
Deepwater Horizon,344,51,0,395
The Chronicles of Narnia: The Voyage of the Daw…,0,91,91,182
Terminator: Genisys,93,0,0,93
Pacific Rim: Uprising,200,91,0,291
Alexander,161,211,0,372
War for the Planet of the Apes,93,73,0,166
Pearl Harbor,227,0,34,261
Transformers,0,0,0,0
Frozen II,91,0,174,265
Wonder Woman,94,147,0,241
Frozen,0,0,0,0
Zootopia,0,85,176,261
Harry Potter and the Order of the Phoenix,198,198,198,594
Harry Potter and the Goblet of Fire,197,197,197,591
The Matrix Reloaded,116,0,0,116
I am Legend,270,0,0,270
Moana,0,344,0,344
Hancock,274,9,4,287
Charlie and the Chocolate Factory,233,0,0,233
Ratatouille,0,0,0,0
Thor: The Dark World,275,220,186,681
Batman Begins,50,98,95,243
Mission: Impossible—Rogue Nation,222,0,304,526
Dunkirk,0,0,56,56
Thor,0,52,110,162
Madagascar: Escape 2 Africa,149,79,0,228
X-Men Origins: Wolverine,207,0,12,219
Night at the Museum: Battle of the Smithsonian,214,139,93,446
Kung Fu Panda 2,145,197,136,478
Mad Max: Fury Road,50,97,98,245
Pokémon: Detective Pikachu,260,0,26,286
The Matrix Revolutions,116,0,0,116
Ready Player One,0,0,99,99
Chicken Little,0,0,0,0
Mission: Impossible III,272,0,47,319
Angels & Demons,151,0,0,151
Troy,235,87,197,519
The Last Airbender,0,0,0,0
Bee Movie,0,85,41,126
G-Force,0,39,0,39
Bolt,200,0,0,200
Wrath of the Titans,190,101,0,291
Beowulf,0,0,191,191
Dark Shadows,358,48,0,406
White House Down,229,151,0,380
The Wolfman,0,41,0,41
The Great Wall,217,0,52,269
Pan,0,303,0,303
Mars Needs Moms,0,0,0,0
Flushed Away,178,84,192,454
Madagascar 3: Europe's Most Wanted,220,0,74,294
Mission: Impossible—Ghost Protocol,139,56,88,283
How to Train Your Dragon 2,44,33,54,131
Mr. Peabody & Sherman,0,0,0,0
Rise of the Guardians,166,74,46,286
Sahara,50,0,0,50
Ghostbusters,208,0,0,208
Die Another Day,163,0,0,163
Pirates of the Caribbean: The Curse of the Blac…,203,0,0,203
Star Trek,0,0,35,35
Men in Black 2,196,155,0,351
Captain America: The First Avenger,14,0,0,14
Kung Fu Panda 3,53,0,0,53
G.I. Joe: Retaliation,214,229,15,458
The Last Samurai,272,0,0,272
Fun With Dick And Jane,206,0,0,206
Exodus: Gods and Kings,194,81,208,483
The BFG,0,0,15,15
Gemini Man,97,20,0,117
Gods of Egypt,0,0,54,54
Spider-Man,57,56,0,113
Watchmen,0,0,0,0
Stealth,0,0,138,138
The Incredible Hulk,0,0,0,0
Hulk,0,0,0,0
Final Fantasy: The Spirits Within,0,0,0,0
"The Twilight Saga: Breaking Dawn, Part 2",285,326,373,984
The Croods,179,151,140,470
The Revenant,250,50,149,449
Rango,260,54,3,317
Master and Commander: The Far Side of the World,226,0,0,226
Turbo,151,0,81,232
Teenage Mutant Ninja Turtles: Out of the Shadows,0,0,0,0
Happy Feet Two,0,127,0,127
Miami Vice,226,167,0,393
The Nutcracker and the Four Realms,0,6,156,162
War of the Worlds,266,61,66,393
Penguins of Madagascar,0,0,0,0
The Hunger Games: Catching Fire,242,78,0,320
Harry Potter and the Prisoner of Azkaban,199,199,199,597
The Bourne Ultimatum,362,0,0,362
Ant-Man and the Wasp,87,87,93,267
Kung Fu Panda,123,0,94,217
Ant-Man,77,37,0,114
Home,0,77,0,77
Mary Poppins Returns,108,0,0,108
Puss in Boots,0,0,156,156
Megamind,129,92,314,535
Bad Boys II,167,92,56,315
Rio 2,89,84,0,173
Salt,46,0,0,46
Noah,84,0,255,339
The Adventures of Tintin,0,15,99,114
After Earth,86,0,91,177
Australia,224,139,0,363
R.I.P.D.,151,158,0,309
How to Train Your Dragon: The Hidden World,0,0,0,0
"The Twilight Saga: Breaking Dawn, Part 1",277,281,343,901
Dinosaur,0,0,0,0
Logan,176,95,0,271
Night at the Museum: Secret of the Tomb,112,0,141,253
Harry Potter and the Deathly Hallows: Part II,197,197,197,591
The Hunger Games: Mockingjay - Part 1,407,78,0,485
Harry Potter and the Sorcerer’s Stone,0,0,0,0
Jumanji: The Next Level,448,139,222,809
Harry Potter and the Deathly Hallows: Part I,198,198,198,594
The Da Vinci Code,202,0,0,202
X-Men 2,130,227,95,452
Fast Five,103,84,87,274
Teenage Mutant Ninja Turtles,0,0,70,70
Sherlock Holmes: A Game of Shadows,410,107,0,517
The Day After Tomorrow,49,0,0,49
The Boss Baby,0,0,0,0
Clash of the Titans,100,74,143,317
Trolls,74,0,0,74
Prometheus,159,0,166,325
The Bourne Legacy,153,37,0,190
Skyscraper,387,0,0,387
Total Recall,84,0,0,84
Assassin’s Creed,98,0,0,98
Monster Trucks,0,30,0,30
How the Grinch Stole Christmas,0,0,0,0
Mission: Impossible 2,0,0,0,0
The Perfect Storm,0,0,0,0
Jason Bourne,217,0,67,284
Fantastic Four: Rise of the Silver Surfer,166,161,17,344
Life of Pi,0,0,0,0
Ghost Rider,181,0,0,181
Rampage,387,6,0,393
Charlie's Angels: Full Throttle,96,0,199,295
Elysium,267,0,0,267
Oblivion,234,92,0,326
Power Rangers,0,0,0,0
Stuart Little 2,0,0,0,0
RoboCop,3,18,0,21
The Chronicles of Riddick,174,0,0,174
The Fantastic Four,0,0,38,38
Speed Racer,2,0,0,2
The Island,53,153,0,206
How Do You Know?,62,71,168,301
Knight and Day,78,108,0,186
Venom,169,81,99,349
Star Wars Episode III: Revenge of the Sith,97,152,153,402
Star Wars Episode II: Attack of the Clones,0,120,177,297
"Monsters, Inc.",78,79,0,157
The Wolverine,164,0,0,164
The Huntsman: Winter’s War,232,53,96,381
Windtalkers,253,0,0,253
Astérix aux Jeux Olympiques,0,0,0,0
Gulliver's Travels,75,0,35,110
Ferdinand,0,85,87,172
Deadpool 2,168,13,0,181
Gravity,0,93,0,93
Night at the Museum,302,73,0,375
Mr. and Mrs. Smith,184,164,0,348
San Andreas,337,0,60,397
The Smurfs,89,0,0,89
Live Free or Die Hard,117,68,0,185
The Divergent Series: Insurgent,147,74,73,294
Ocean's Twelve,151,235,204,590
The Patriot,0,0,0,0
300: Rise of an Empire,0,69,22,91
The Aviator,166,48,190,404
Passengers,475,197,0,672
The Green Hornet,61,0,83,144
Miss Peregrine’s Home for Peculiar Children,75,45,325,445
Real Steel,154,0,0,154
Men in Black: International,301,93,0,394
The A-Team,74,155,73,302
The Smurfs 2,0,0,0,0
The Divergent Series: Allegiant,222,148,50,420
The Taking of Pelham 123,240,155,0,395
Ender's Game,68,64,71,203
Home on the Range,0,130,0,130
Kingdom of Heaven,290,0,88,378
Ghost in the Shell,374,0,0,374
Around the World in 80 Days,186,0,0,186
Dr. Seuss’ The Cat in the Hat,88,0,0,88
Ali,188,65,43,296
The Martian,125,91,0,216
Allied,197,0,21,218
"I, Robot",242,0,0,242
The Princess and the Frog,0,0,0,0
"10,000 B.C.",15,33,0,48
Ice Age: Collision Course,0,0,0,0
Town & Country,22,29,0,51
Kingsman: The Golden Circle,83,141,83,307
Gone in 60 Seconds,0,0,0,0
Gladiator,0,0,0,0
The Hangover 3,340,189,93,622
A Wrinkle in Time,0,0,0,0
Public Enemies,145,265,0,410
Casino Royale,0,84,0,84
Minority Report,287,0,0,287
Bumblebee,51,0,0,51
Cloud Atlas,93,48,29,170
Harry Potter and the Chamber of Secrets,100,100,100,300
Planet of the Apes,86,0,0,86
National Treasure,103,0,0,103
Django Unchained,122,126,196,444
1917,0,0,0,0
Little Fockers,207,0,85,292
American Gangster,259,54,0,313
Cloudy with a Chance of Meatballs,97,0,0,97
The Other Guys,129,173,0,302
Lemony Snicket's A Series of Unfortunate Events,113,207,53,373
The Wolf of Wall Street,281,98,0,379
Epic,198,78,0,276
The Emperor's New Groove,0,0,0,0
The Expendables 2,73,0,73,146
Where the Wild Things Are,0,0,66,66
Eragon,0,0,0,0
Hercules,365,107,98,570
The Tourist,251,46,15,312
Spies in Disguise,0,0,0,0
The Stepford Wives,285,0,0,285
Surf’s Up,0,0,16,16
Blood Diamond,78,0,4,82
Midway,0,167,275,442
Legend of the Guardians: The Owls of Ga'Hoole,55,0,0,55
Land of the Lost,181,38,0,219
Peter Pan,0,0,0,0
Wonder Park,0,0,0,0
Catwoman,157,0,0,157
The Expendables 3,111,99,94,304
Treasure Planet,0,0,0,0
Green Zone,229,0,0,229
Geostorm,92,0,0,92
Point Break,0,0,0,0
Cats,0,154,0,154
In the Heart of the Sea,308,0,0,308
Transcendence,237,0,276,513
Son of the Mask,0,0,0,0
Mortal Engines,0,0,0,0
The Adventures of Pluto Nash,269,0,0,269
Jin líng shí san chai,203,0,0,203
The Peanuts Movie,0,0,0,0
The LEGO Movie 2: The Second Part,406,0,66,472
The Mummy Returns,161,95,0,256
Ford v. Ferrari,156,0,0,156
Gangs of New York,17,154,0,171
Alien: Covenant,247,93,0,340
Cinderella,0,33,0,33
Ice Age: Continental Drift,0,0,0,0
Black Hawk Down,34,100,99,233
Sex and the City 2,119,90,153,362
Percy Jackson & the Olympians: The Lightning Thief,0,0,89,89
The Campaign,159,249,94,502
Unstoppable,142,88,0,230
The Road to El Dorado,0,0,0,0
The Lovely Bones,8,140,0,148
Ben-Hur,0,0,75,75
Seventh Son,0,46,13,59
Finding Nemo,0,0,0,0
The Lord of the Rings: The Return of the King,199,199,291,689
The Lord of the Rings: The Two Towers,99,191,99,389
Lara Croft: Tomb Raider,198,43,0,241
Kingsman: The Secret Service,0,0,194,194
The Lord of the Rings: The Fellowship of the Ring,34,92,0,126
Jurassic Park III,0,27,68,95
Rise of the Planet of the Apes,44,15,87,146
The Spiderwick Chronicles,106,0,13,119
The Incredibles,0,122,0,122
A Good Day to Die Hard,124,0,0,124
The Alamo,49,80,0,129
The Secret Life of Walter Mitty,134,81,0,215
Jumanji: Welcome to the Jungle,211,0,185,396
Rush Hour 2,159,87,0,246
Sherlock Holmes,194,82,0,276
Ice Age: Dawn of the Dinosaurs,0,0,0,0
Spider-Man: Into The Spider-Verse 3D,0,0,51,51
What Lies Beneath,0,0,0,0
Rio,110,227,66,403
Once Upon a Time…in Hollywood,0,29,168,197
The Departed,78,258,170,506
Charlie's Angels,0,0,0,0
Tropic Thunder,149,123,36,308
The Girl with the Dragon Tattoo,99,0,14,113
You Don't Mess With the Zohan,236,0,0,236
The Magnificent Seven,102,197,22,321
