title_x,tomatometer_score,audience_score_rt,original_language,MPA_Ratings,release_date_x,budget_x,domestic_gross_x,worldwide_gross_x,release_date,budget,domestic_gross,worldwide_gross,title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
Avengers: Endgame,94.0,90.0,English,PG-13,2019-04-23,400000000,858373000,2797800564,2019-04-23,400000000,858373000,2797800564,Avengers: Endgame,8.4,Robert Downey Jr.,Chris Evans,Mark Ruffalo,https://www.imdb.com/title/tt4154796/,tt4154796,Anthony Russo
Pirates of the Caribbean: On Stranger Tides,33.0,54.0,English,PG-13,2011-05-20,379000000,241071802,1045713802,2011-05-20,379000000,241071802,1045713802,Pirates of the Caribbean: On Stranger Tides,6.6,Johnny Depp,Penélope Cruz,Ian McShane,https://www.imdb.com/title/tt1298650/,tt1298650,Rob Marshall
Avengers: Age of Ultron,76.0,83.0,English,PG-13,2015-04-22,365000000,459005868,1395316979,2015-04-22,365000000,459005868,1395316979,Avengers: Age of Ultron,7.3,Robert Downey Jr.,Chris Evans,Mark Ruffalo,https://www.imdb.com/title/tt2395427/,tt2395427,Joss Whedon
Star Wars Episode VII: The Force Awakens,93.0,85.0,English,PG-13,2015-12-16,306000000,936662225,2064615817,2015-12-16,306000000,936662225,2064615817,Star Wars Episode VII: The Force Awakens,7.9,Daisy Ridley,John Boyega,Oscar Isaac,https://www.imdb.com/title/tt2488496/,tt2488496,J.J. Abrams
Avengers: Infinity War,85.0,91.0,English,PG-13,2018-04-25,300000000,678815482,2048359754,2018-04-25,300000000,678815482,2048359754,Avengers: Infinity War,8.5,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,https://www.imdb.com/title/tt4154756/,tt4154756,Anthony Russo
Pirates of the Caribbean: At World’s End,44.0,72.0,English,PG-13,2007-05-24,300000000,309420425,960996492,2007-05-24,300000000,309420425,960996492,Pirates of the Caribbean: At World’s End,7.1,Johnny Depp,Orlando Bloom,Keira Knightley,https://www.imdb.com/title/tt0449088/,tt0449088,Gore Verbinski
Justice League,40.0,69.0,English,PG-13,2017-11-13,300000000,229024295,655945209,2017-11-13,300000000,229024295,655945209,Justice League,6.1,Ben Affleck,Gal Gadot,Jason Momoa,https://www.imdb.com/title/tt0974015/,tt0974015,Zack Snyder
Spectre,63.0,61.0,English,PG-13,2015-10-06,300000000,200074175,879500760,2015-10-06,300000000,200074175,879500760,Spectre,6.8,Daniel Craig,Christoph Waltz,Léa Seydoux,https://www.imdb.com/title/tt2379713/,tt2379713,Sam Mendes
Star Wars: The Rise of Skywalker,52.0,86.0,English,PG-13,2019-12-18,275000000,515202542,1072848487,2019-12-18,275000000,515202542,1072848487,Star Wars: The Rise of Skywalker,6.5,Daisy Ridley,John Boyega,Oscar Isaac,https://www.imdb.com/title/tt2527338/,tt2527338,J.J. Abrams
Solo: A Star Wars Story,70.0,64.0,English,PG-13,2018-05-23,275000000,213767512,393151347,2018-05-23,275000000,213767512,393151347,Solo: A Star Wars Story,6.9,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,https://www.imdb.com/title/tt3778644/,tt3778644,Ron Howard
John Carter,52.0,60.0,English,PG-13,2012-03-07,263700000,73058679,282778100,2012-03-07,263700000,73058679,282778100,John Carter,6.6,Taylor Kitsch,Lynn Collins,Willem Dafoe,https://www.imdb.com/title/tt0401729/,tt0401729,Andrew Stanton
Batman v Superman: Dawn of Justice,29.0,63.0,English,PG-13,2016-03-23,263000000,330360194,872395091,2016-03-23,263000000,330360194,872395091,Batman v Superman: Dawn of Justice,6.5,Ben Affleck,Henry Cavill,Amy Adams,https://www.imdb.com/title/tt2975590/,tt2975590,Zack Snyder
Star Wars Episode VIII: The Last Jedi,91.0,42.0,English,PG-13,2017-12-13,262000000,620181382,1331635141,2017-12-13,262000000,620181382,1331635141,Star Wars Episode VIII: The Last Jedi,6.9,Daisy Ridley,John Boyega,Mark Hamill,https://www.imdb.com/title/tt2527336/,tt2527336,Nathaniel Wayne
The Lion King,93.0,93.0,English,G,2019-07-11,260000000,543638043,1654367425,2019-07-11,260000000,543638043,1654367425,The Lion King,6.9,Donald Glover,Beyoncé,Seth Rogen,https://www.imdb.com/title/tt6105098/,tt6105098,Roger Allers
Tangled,89.0,87.0,English,PG,2010-11-24,260000000,200821936,584899819,2010-11-24,260000000,200821936,584899819,Tangled,7.8,Mandy Moore,Zachary Levi,Donna Murphy,https://www.imdb.com/title/tt0398286/,tt0398286,Nathan Greno
Spider-Man 3,63.0,51.0,English,PG-13,2007-05-04,258000000,336530303,894860230,2007-05-04,258000000,336530303,894860230,Spider-Man 3,6.3,Tobey Maguire,Kirsten Dunst,Topher Grace,https://www.imdb.com/title/tt0413300/,tt0413300,Sam Raimi
Captain America: Civil War,90.0,89.0,English,PG-13,2016-04-22,250000000,408084349,1151918521,2016-04-22,250000000,408084349,1151918521,Captain America: Civil War,7.8,Chris Evans,Robert Downey Jr.,Scarlett Johansson,https://www.imdb.com/title/tt3498820/,tt3498820,Anthony Russo
Harry Potter and the Half-Blood Prince,84.0,78.0,English,PG,2009-07-15,250000000,302089278,929411069,2009-07-15,250000000,302089278,929411069,Harry Potter and the Half-Blood Prince,7.6,Daniel Radcliffe,Emma Watson,Rupert Grint,https://www.imdb.com/title/tt0417741/,tt0417741,David Yates
The Hobbit: The Desolation of Smaug,74.0,85.0,English,PG-13,2013-12-12,250000000,258241522,959358436,2013-12-12,250000000,258241522,959358436,The Hobbit: The Desolation of Smaug,7.8,Ian McKellen,Martin Freeman,Richard Armitage,https://www.imdb.com/title/tt1170358/,tt1170358,Peter Jackson
The Hobbit: The Battle of the Five Armies,59.0,74.0,English,PG-13,2014-12-10,250000000,255119788,940389558,2014-12-10,250000000,255119788,940389558,The Hobbit: The Battle of the Five Armies,7.4,Ian McKellen,Martin Freeman,Richard Armitage,https://www.imdb.com/title/tt2310332/,tt2310332,Peter Jackson
The Fate of the Furious,67.0,72.0,English,PG-13,2017-04-07,250000000,225764765,1236703796,2017-04-07,250000000,225764765,1236703796,The Fate of the Furious,6.6,Vin Diesel,Jason Statham,Dwayne Johnson,https://www.imdb.com/title/tt4630562/,tt4630562,F. Gary Gray
Avatar,82.0,82.0,English,PG-13,2009-12-17,237000000,760507625,2845899541,2009-12-17,237000000,760507625,2845899541,Avatar,7.9,Sam Worthington,Zoe Saldana,Sigourney Weaver,https://www.imdb.com/title/tt0499549/,tt0499549,James Cameron
Superman Returns,74.0,61.0,English,PG-13,2006-06-28,232000000,200120000,391081192,2006-06-28,232000000,200120000,391081192,Superman Returns,6.1,Brandon Routh,Kevin Spacey,Kate Bosworth,https://www.imdb.com/title/tt0348150/,tt0348150,Bryan Singer
The Dark Knight Rises,87.0,90.0,English,PG-13,2012-07-19,230000000,448139099,1082228107,2012-07-19,230000000,448139099,1082228107,The Dark Knight Rises,8.4,Christian Bale,Tom Hardy,Anne Hathaway,https://www.imdb.com/title/tt1345836/,tt1345836,Christopher Nolan
Pirates of the Caribbean: Dead Men Tell No Tales,30.0,60.0,English,PG-13,2017-05-23,230000000,172558876,794861794,2017-05-23,230000000,172558876,794861794,Pirates of the Caribbean: Dead Men Tell No Tales,6.6,Johnny Depp,Geoffrey Rush,Javier Bardem,https://www.imdb.com/title/tt1790809/,tt1790809,Joachim Rønning
Quantum of Solace,64.0,58.0,English,PG-13,2008-11-14,230000000,169368427,591692078,2008-11-14,230000000,169368427,591692078,Quantum of Solace,6.6,Daniel Craig,Olga Kurylenko,Mathieu Amalric,https://www.imdb.com/title/tt0830515/,tt0830515,Marc Forster
The Avengers,5.0,15.0,English,PG-13,2012-04-25,225000000,623357910,1515100211,2012-04-25,225000000,623357910,1515100211,The Avengers,8.1,Robert Downey Jr.,Chris Evans,Scarlett Johansson,https://www.imdb.com/title/tt0848228/,tt0848228,Joss Whedon
Pirates of the Caribbean: Dead Man’s Chest,53.0,72.0,English,PG-13,2006-07-06,225000000,423315812,1066179725,2006-07-06,225000000,423315812,1066179725,Pirates of the Caribbean: Dead Man’s Chest,7.4,Johnny Depp,Orlando Bloom,Keira Knightley,https://www.imdb.com/title/tt0383574/,tt0383574,Gore Verbinski
Man of Steel,56.0,75.0,English,PG-13,2013-06-14,225000000,291045518,667999518,2013-06-14,225000000,291045518,667999518,Man of Steel,7.1,Henry Cavill,Amy Adams,Michael Shannon,https://www.imdb.com/title/tt0770828/,tt0770828,Zack Snyder
The Chronicles of Narnia: Prince Caspian,66.0,73.0,English,PG,2008-05-16,225000000,141621490,417341288,2008-05-16,225000000,141621490,417341288,The Chronicles of Narnia: Prince Caspian,6.5,Ben Barnes,Skandar Keynes,Georgie Henley,https://www.imdb.com/title/tt0499448/,tt0499448,Andrew Adamson
The Lone Ranger,31.0,51.0,English,PG-13,2013-07-02,225000000,89302115,260002115,2013-07-02,225000000,89302115,260002115,The Lone Ranger,6.4,Johnny Depp,Armie Hammer,William Fichtner,https://www.imdb.com/title/tt1210819/,tt1210819,Gore Verbinski
