rating_check,runtime,genre
8.4,['181'],"['Action', 'Adventure', 'Drama', 'Sci-Fi']"
6.6,['137'],"['Action', 'Adventure', 'Fantasy']"
7.3,['141'],"['Action', 'Adventure', 'Sci-Fi']"
7.9,['138'],"['Action', 'Adventure', 'Sci-Fi']"
8.5,['149'],"['Action', 'Adventure', 'Sci-Fi']"
7.1,['169'],"['Action', 'Adventure', 'Fantasy']"
6.1,['120'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
6.8,['148'],"['Action', 'Adventure', 'Thriller']"
6.5,['141'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
6.9,['135'],"['Action', 'Adventure', 'Sci-Fi']"
6.6,['132'],"['Action', 'Adventure', 'Sci-Fi']"
6.5,['152'],"['Action', 'Adventure', 'Sci-Fi']"
6.9,['152'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
6.9,['118'],"['Animation', 'Adventure', 'Drama', 'Family', 'Musical']"
7.8,['100'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
6.3,['139'],"['Action', 'Adventure', 'Sci-Fi']"
7.8,['147'],"['Action', 'Adventure', 'Sci-Fi']"
7.6,['153'],"['Action', 'Adventure', 'Family', 'Fantasy', 'Mystery']"
7.8,['161'],"['Adventure', 'Fantasy']"
7.4,['144'],"['Adventure', 'Fantasy']"
6.6,['136'],"['Action', 'Crime', 'Thriller']"
7.9,['162'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
6.1,['154'],"['Action', 'Adventure', 'Sci-Fi']"
8.4,['164'],"['Action', 'Crime', 'Drama']"
6.6,['129'],"['Action', 'Adventure', 'Fantasy']"
6.6,['106'],"['Action', 'Adventure', 'Thriller']"
8.1,['143'],"['Action', 'Adventure', 'Sci-Fi']"
7.4,['151'],"['Action', 'Adventure', 'Fantasy']"
7.1,['143'],"['Action', 'Adventure', 'Sci-Fi']"
6.5,['150'],"['Action', 'Adventure', 'Family', 'Fantasy']"
6.4,['150'],"['Action', 'Adventure', 'Western']"
7.0,['136'],"['Action', 'Adventure', 'Sci-Fi']"
5.8,['131'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
5.2,['154'],"['Action', 'Adventure', 'Sci-Fi']"
7.0,['124'],"['Action', 'Adventure', 'Sci-Fi']"
6.8,['106'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
6.0,['149'],"['Action', 'Adventure', 'Sci-Fi']"
5.6,['165'],"['Action', 'Adventure', 'Sci-Fi']"
6.7,['104'],"['Action', 'Adventure', 'Sci-Fi']"
6.6,['140'],"['Action', 'Adventure', 'Drama', 'History']"
7.2,['187'],"['Action', 'Adventure', 'Drama', 'Romance']"
6.1,['113'],"['Adventure', 'Family', 'Fantasy']"
7.3,['134'],"['Action', 'Adventure', 'Sci-Fi']"
7.6,['118'],"['Animation', 'Action', 'Adventure', 'Comedy', 'Family', 'Sci-Fi']"
7.8,['133'],"['Action', 'Adventure', 'Sci-Fi']"
7.3,['97'],"['Animation', 'Adventure', 'Comedy', 'Family']"
7.7,['100'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
8.3,['103'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
7.2,['130'],"['Action', 'Adventure', 'Sci-Fi']"
7.6,['136'],"['Action', 'Adventure', 'Comedy', 'Sci-Fi']"
7.4,['127'],"['Action', 'Adventure', 'Sci-Fi']"
6.4,['108'],"['Adventure', 'Family', 'Fantasy', 'Mystery']"
7.8,['143'],"['Action', 'Adventure', 'Thriller']"
7.8,['169'],"['Adventure', 'Fantasy']"
7.3,['104'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
6.3,['130'],"['Adventure', 'Family', 'Fantasy']"
8.0,['132'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.6,['142'],"['Action', 'Adventure', 'Sci-Fi']"
6.2,['106'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']"
6.5,['137'],"['Action', 'Adventure', 'Thriller']"
6.8,['125'],"['Action', 'Adventure', 'Sci-Fi']"
5.8,['158'],"['Action', 'Adventure', 'Sci-Fi']"
6.5,['134'],"['Adventure', 'Family', 'Fantasy']"
6.5,['115'],"['Action', 'Sci-Fi']"
5.5,['114'],"['Action', 'Adventure', 'Sci-Fi']"
6.6,['116'],"['Action', 'Adventure', 'Fantasy']"
5.7,['113'],"['Action', 'Adventure', 'Sci-Fi']"
6.2,['154'],"['Action', 'Adventure', 'Sci-Fi']"
5.4,['111'],"['Action', 'Adventure', 'Fantasy', 'Horror', 'Thriller']"
6.3,['114'],"['Action', 'Adventure', 'Fantasy']"
7.2,['137'],"['Action', 'Crime', 'Thriller']"
7.7,['132'],"['Action', 'Adventure', 'Sci-Fi']"
7.0,['116'],"['Action', 'Adventure', 'Horror', 'Sci-Fi']"
7.2,['143'],"['Drama', 'Romance']"
6.8,['96'],"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
6.9,['131'],"['Action', 'Adventure', 'Sci-Fi']"
6.7,['93'],"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
7.9,['126'],"['Action', 'Adventure', 'Sci-Fi']"
9.1,['152'],"['Action', 'Crime', 'Drama', 'Thriller']"
6.2,['122'],"['Action', 'Adventure']"
7.1,['93'],"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']"
6.7,['118'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
7.0,['122'],"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
6.6,['119'],"['Adventure', 'Family', 'Fantasy']"
8.0,['164'],"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Thriller']"
6.2,['128'],"['Action', 'Adventure', 'Sci-Fi']"
6.9,['128'],"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']"
7.9,['130'],"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']"
6.9,['143'],"['Adventure', 'Family', 'Fantasy']"
7.0,['97'],"['Adventure', 'Family', 'Fantasy', 'Romance']"
7.3,['132'],"['Adventure', 'Family', 'Fantasy']"
8.4,['98'],"['Animation', 'Adventure', 'Family', 'Sci-Fi']"
6.2,['91'],"['Action', 'Comedy', 'Crime', 'Thriller']"
6.2,['110'],"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']"
7.5,['126'],"['Adventure', 'Drama', 'Family', 'Fantasy', 'Mystery']"
6.5,['136'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
5.3,['127'],"['Action', 'Adventure', 'Sci-Fi']"
7.7,['147'],"['Action', 'Adventure', 'Thriller']"
6.9,['144'],"['Action', 'Adventure', 'Sci-Fi']"
5.6,['113'],"['Action', 'Horror', 'Sci-Fi', 'Thriller']"
7.9,['113'],"['Action', 'Adventure', 'Sci-Fi']"
6.8,['123'],"['Action', 'Adventure', 'Sci-Fi']"
7.4,['106'],"['Adventure', 'Drama', 'Family', 'Fantasy']"
8.2,['95'],"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Fantasy']"
7.4,['133'],"['Action', 'Adventure', 'Sci-Fi']"
5.9,['123'],"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']"
8.3,['96'],"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']"
