title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id,director
Avengers: Endgame,8.4,Robert Downey Jr.,Chris Evans,Mark Ruffalo,https://www.imdb.com/title/tt4154796/,tt4154796,Anthony Russo
Pirates of the Caribbean: On Stranger Tides,6.6,Johnny Depp,Penélope Cruz,Ian McShane,https://www.imdb.com/title/tt1298650/,tt1298650,Rob Marshall
Avengers: Age of Ultron,7.3,Robert Downey Jr.,Chris Evans,Mark Ruffalo,https://www.imdb.com/title/tt2395427/,tt2395427,Joss Whedon
Star Wars Episode VII: The Force Awakens,7.9,Daisy Ridley,John Boyega,Oscar Isaac,https://www.imdb.com/title/tt2488496/,tt2488496,J.J. Abrams
Avengers: Infinity War,8.5,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,https://www.imdb.com/title/tt4154756/,tt4154756,Anthony Russo
Pirates of the Caribbean: At World’s End,7.1,Johnny Depp,Orlando Bloom,Keira Knightley,https://www.imdb.com/title/tt0449088/,tt0449088,Gore Verbinski
Justice League,6.1,Ben Affleck,Gal Gadot,Jason Momoa,https://www.imdb.com/title/tt0974015/,tt0974015,Zack Snyder
Spectre,6.8,Daniel Craig,Christoph Waltz,Léa Seydoux,https://www.imdb.com/title/tt2379713/,tt2379713,Sam Mendes
Star Wars: The Rise of Skywalker,6.5,Daisy Ridley,John Boyega,Oscar Isaac,https://www.imdb.com/title/tt2527338/,tt2527338,J.J. Abrams
Solo: A Star Wars Story,6.9,Alden Ehrenreich,Woody Harrelson,Emilia Clarke,https://www.imdb.com/title/tt3778644/,tt3778644,Ron Howard
John Carter,6.6,Taylor Kitsch,Lynn Collins,Willem Dafoe,https://www.imdb.com/title/tt0401729/,tt0401729,Andrew Stanton
Batman v Superman: Dawn of Justice,6.5,Ben Affleck,Henry Cavill,Amy Adams,https://www.imdb.com/title/tt2975590/,tt2975590,Zack Snyder
Star Wars Episode VIII: The Last Jedi,6.9,Daisy Ridley,John Boyega,Mark Hamill,https://www.imdb.com/title/tt2527336/,tt2527336,Nathaniel Wayne
The Lion King,6.9,Donald Glover,Beyoncé,Seth Rogen,https://www.imdb.com/title/tt6105098/,tt6105098,Roger Allers
