title,imdb_rating,cast_1,cast_2,cast_3,movie_url,imdb_id
Disney’s A Christmas Carol,6.8,Jim Carrey,Gary Oldman,Colin Firth,https://www.imdb.com/title/tt1067106/,tt1067106
"The Chronicles of Narnia: The Lion, the Witch a…",6.9,Tilda Swinton,Georgie Henley,William Moseley,https://www.imdb.com/title/tt0363771/,tt0363771
WALL-E,8.4,Ben Burtt,Elissa Knight,Jeff Garlin,https://www.imdb.com/title/tt0910970/,tt0910970
Cowboys and Aliens,6.0,Daniel Craig,Harrison Ford,Olivia Wilde,https://www.imdb.com/title/tt0409847/,tt0409847
Fast and Furious 6,7.1,Vin Diesel,Paul Walker,Dwayne Johnson,https://www.imdb.com/title/tt1905041/,tt1905041
The Chronicles of Narnia: The Voyage of the Daw…,6.3,Ben Barnes,Skandar Keynes,Georgie Henley,https://www.imdb.com/title/tt0980970/,tt0980970
Mars Needs Moms,5.4,Seth Green,Joan Cusack,Dan Fogler,https://www.imdb.com/title/tt1305591/,tt1305591
Pirates of the Caribbean: The Curse of the Blac…,8.1,Johnny Depp,Geoffrey Rush,Orlando Bloom,https://www.imdb.com/title/tt0325980/,tt0325980
Men in Black 2,6.1,Tommy Lee Jones,Will Smith,Rip Torn,https://www.imdb.com/title/tt0120912/,tt0120912
Harry Potter and the Deathly Hallows: Part II,8.2,Daniel Radcliffe,Emma Watson,Rupert Grint,https://www.imdb.com/title/tt1201607/,tt1201607
Harry Potter and the Deathly Hallows: Part I,7.7,Daniel Radcliffe,Emma Watson,Rupert Grint,https://www.imdb.com/title/tt0926084/,tt0926084
X-Men 2,7.4,Patrick Stewart,Hugh Jackman,Halle Berry,https://www.imdb.com/title/tt0290334/,tt0290334
Mission: Impossible 2,6.1,Tom Cruise,Dougray Scott,Thandiwe Newton,https://www.imdb.com/title/tt0120755/,tt0120755
The Fantastic Four,4.3,Miles Teller,Kate Mara,Michael B. Jordan,https://www.imdb.com/title/tt1502712/,tt1502712
Mr. and Mrs. Smith,6.5,Brad Pitt,Angelina Jolie,Adam Brody,https://www.imdb.com/title/tt0356910/,tt0356910
The Divergent Series: Allegiant,5.7,Shailene Woodley,Theo James,Jeff Daniels,https://www.imdb.com/title/tt3410834/,tt3410834
Dr. Seuss’ The Cat in the Hat,4.1,Mike Myers,Spencer Breslin,Dakota Fanning,https://www.imdb.com/title/tt0312528/,tt0312528
"10,000 B.C.",5.1,Camilla Belle,Steven Strait,Marco Khan,https://www.imdb.com/title/tt0443649/,tt0443649
The Hangover 3,5.8,Bradley Cooper,Zach Galifianakis,Ed Helms,https://www.imdb.com/title/tt1951261/,tt1951261
Lemony Snicket's A Series of Unfortunate Events,6.8,Jim Carrey,Jude Law,Meryl Streep,https://www.imdb.com/title/tt0339291/,tt0339291
Jin líng shí san chai,7.5,Christian Bale,Ni Ni,Xinyi Zhang,https://www.imdb.com/title/tt1410063/,tt1410063
